point,d2d_gbps,ratio,request_id,edge_bytes_6head_GB,edge_span_6head_ms,eff_bw_6head_GBps,edge_bytes_5head_GB,edge_span_5head_ms,eff_bw_5head_GBps,hbm_floor_ms,noc_uncontended_ms,noc_3flow_shared_ms,decode_window_ms,body_gate_ms,exit_minus_last_read_ms
h28_r1,1640.0,1.0,t1s6_r0,138.71,240.27,577.3,,,,84.58,84.58,253.73,423.63,29.14,0.0
h28_r1,1640.0,1.0,t1s6_r0,,,,115.59,200.23,577.3,70.48,70.48,211.44,423.63,29.14,0.0
h28_r1,1640.0,1.0,t1s6_r1,140.92,244.07,577.4,,,,85.92,85.92,257.77,430.34,29.32,0.0
h28_r1,1640.0,1.0,t1s6_r1,,,,117.43,203.39,577.4,71.6,71.6,214.81,430.34,29.32,0.0
h28_r1,1640.0,1.0,t1s7_r0,138.54,240.03,577.2,,,,84.48,84.48,253.43,423.16,29.28,0.0
h28_r1,1640.0,1.0,t1s7_r0,,,,115.45,200.02,577.2,70.4,70.4,211.2,423.16,29.28,0.0
physical,4050.0,2.4695,t1s6_r0,138.71,97.3,1425.6,,,,84.58,34.25,102.75,171.55,26.79,10.72
physical,4050.0,2.4695,t1s6_r0,,,,115.59,81.08,1425.6,70.48,28.54,85.62,171.55,26.79,10.72
physical,4050.0,2.4695,t1s6_r1,140.92,98.83,1425.8,,,,85.92,34.79,104.38,174.27,26.94,10.89
physical,4050.0,2.4695,t1s6_r1,,,,117.43,82.36,1425.8,71.6,29.0,86.99,174.27,26.94,10.89
physical,4050.0,2.4695,t1s7_r0,138.54,97.2,1425.4,,,,84.48,34.21,102.63,171.36,26.9,10.71
physical,4050.0,2.4695,t1s7_r0,,,,115.45,81.0,1425.4,70.4,28.51,85.52,171.36,26.9,10.71
h28_r4,6560.0,4.0,t1s6_r0,138.71,86.0,1612.9,,,,84.58,21.14,63.43,124.18,26.59,38.18
h28_r4,6560.0,4.0,t1s6_r0,,,,115.59,71.67,1612.9,70.48,17.62,52.86,124.18,26.59,38.18
h28_r4,6560.0,4.0,t1s6_r1,140.92,87.36,1613.1,,,,85.92,21.48,64.44,126.15,26.75,38.79
h28_r4,6560.0,4.0,t1s6_r1,,,,117.43,72.8,1613.1,71.6,17.9,53.7,126.15,26.75,38.79
h28_r4,6560.0,4.0,t1s7_r0,138.54,85.91,1612.6,,,,84.48,21.12,63.36,124.05,26.71,38.13
h28_r4,6560.0,4.0,t1s7_r0,,,,115.45,71.59,1612.6,70.4,17.6,52.8,124.05,26.71,38.13
